55,0,0,›,CODE1=NULL,CODE2=NULL,PUT=rsaquo,,,,,,,,,,,,,,,,
56,0,0,‽,CODE1=NULL,CODE2=NULL,PUT=IBANG,,,,,,,,,,,,,,,,
57,0,0,‾,CODE1=NULL,CODE2=NULL,PUT=oline,,,,,,,,,,,,,,,,
58,0,0,¢,CODE1=NULL,CODE2=NULL,PUT=cent,,,,,,,,,,,,,,,,
59,0,0,£,CODE1=NULL,CODE2=NULL,PUT=pound,,,,,,,,,,,,,,,,
60,0,0,¤,CODE1=NULL,CODE2=NULL,PUT=curren,,,,,,,,,,,,,,,,
61,0,0,¥,CODE1=NULL,CODE2=NULL,PUT=yen,,,,,,,,,,,,,,,,
62,0,0,€,CODE1=NULL,CODE2=NULL,PUT=EURO,,,,,,,,,,,,,,,,
63,0,0,+,CODE1=NULL,CODE2=NULL,PUT=PLUS,,,,,,,,,,,,,,,,
64,0,0,<,CODE1=NULL,CODE2=NULL,PUT=lt,,,,,,,,,,,,,,,,
65,0,0,=,CODE1=NULL,CODE2=NULL,PUT=EQUAL,,,,,,,,,,,,,,,,
66,0,0,>,CODE1=NULL,CODE2=NULL,PUT=gt,,,,,,,,,,,,,,,,
67,0,0,±,CODE1=NULL,CODE2=NULL,PUT=plusmn,,,,,,,,,,,,,,,,
68,0,0,«,CODE1=NULL,CODE2=NULL,PUT=laquo,,,,,,,,,,,,,,,,
69,0,0,»,CODE1=NULL,CODE2=NULL,PUT=raquo,,,,,,,,,,,,,,,,
70,0,0,×,CODE1=NULL,CODE2=NULL,PUT=times,,,,,,,,,,,,,,,,
71,0,0,÷,CODE1=NULL,CODE2=NULL,PUT=divide,,,,,,,,,,,,,,,,
72,0,0,↑,CODE1=NULL,CODE2=NULL,PUT=uarr,,,,,,,,,,,,,,,,
73,0,0,→,CODE1=NULL,CODE2=NULL,PUT=rarr,,,,,,,,,,,,,,,,
74,0,0,↓,CODE1=NULL,CODE2=NULL,PUT=darr,,,,,,,,,,,,,,,,
75,0,0,←,CODE1=NULL,CODE2=NULL,PUT=larr,,,,,,,,,,,,,,,,
76,0,0,§,CODE1=NULL,CODE2=NULL,PUT=sect,,,,,,,,,,,,,,,,
77,0,0,©,CODE1=NULL,CODE2=NULL,PUT=copy,,,,,,,,,,,,,,,,
78,0,0,¬,CODE1=NULL,CODE2=NULL,PUT=not,,,,,,,,,,,,,,,,
79,0,0,®,CODE1=NULL,CODE2=NULL,PUT=reg,,,,,,,,,,,,,,,,
80,0,0,°,CODE1=NULL,CODE2=NULL,PUT=deg,,,,,,,,,,,,,,,,
81,0,0,¶,CODE1=NULL,CODE2=NULL,PUT=para,,,,,,,,,,,,,,,,
82,0,0,·,CODE1=NULL,CODE2=NULL,PUT=middot,,,,,,,,,,,,,,,,
83,0,0,…,CODE1=NULL,CODE2=NULL,PUT=hellip,,,,,,,,,,,,,,,,
84,0,0,♠,CODE1=NULL,CODE2=NULL,PUT=spades,,,,,,,,,,,,,,,,
85,0,0,♣,CODE1=NULL,CODE2=NULL,PUT=clubs,,,,,,,,,,,,,,,,
86,0,0,♥,CODE1=NULL,CODE2=NULL,PUT=hearts,,,,,,,,,,,,,,,,
87,0,0,♦,CODE1=NULL,CODE2=NULL,PUT=diams,,,,,,,,,,,,,,,,
88,0,0,†,CODE1=NULL,CODE2=NULL,PUT=dagger,,,,,,,,,,,,,,,,
89,0,0,"‡",CODE1=NULL,CODE2=NULL,PUT=Dagger,,,,,,,,,,,,,,,,
90,0,0,‰,CODE1=NULL,CODE2=NULL,PUT=permil,,,,,,,,,,,,,,,,
91,0,0,¼,CODE1=NULL,CODE2=NULL,PUT=frac14,,,,,,,,,,,,,,,,
92,0,0,½,CODE1=NULL,CODE2=NULL,PUT=frac12,,,,,,,,,,,,,,,,
93,0,0,¾,CODE1=NULL,CODE2=NULL,PUT=frac34,,,,,,,,,,,,,,,,
94,0,0,¹,CODE1=NULL,CODE2=NULL,PUT=sup1,,,,,,,,,,,,,,,,
95,0,0,²,CODE1=NULL,CODE2=NULL,PUT=sup2,,,,,,,,,,,,,,,,
96,0,0,³,CODE1=NULL,CODE2=NULL,PUT=sup3,,,,,,,,,,,,,,,,
97,84,10,ابعت,CODE1=544043,CODE2=201951480,LEMMA=أرسل,BF=أرسل,LEX=V,POS=VER,LST=WRD,NUM=SNG,PER=1PS,ATE=PRS,MOO=IND,VOI=ACV,TRA=TST2,PAR=M124,FRA=Y521,SEM=MOT,,,
98,1,1,ابقا,CODE1=1121134,CODE2=202240674,LEMMA=حاول,BF=حاول,LEX=V,POS=VER,LST=WRD,GEN=MCL,NUM=SNG,PER=2PS,MOO=IMP,VOI=ACV,TRA=TSTD,PAR=M242,FRA=Y0,SEM=POV,,,
99,17,1,ابلكيشن,CODE1=327335,CODE2=100949134,LEMMA=تطبيق,BF=تطبيق,LEX=N,POS=NOU,LST=WRD,GEN=MCL,NUM=SNGT,PAR=M0,FRA=Y0,ABN=ABT,ALY=ALI,ANI=NANM,CAR=NCTB,SEM=ACT,SFR=K706,,
100,29,1,اتصالات,CODE1=277011,CODE2=100039297,LEMMA=اتصال,BF=اتصال,LEX=N,POS=NOU,MOR=WFO,LST=WRD,GEN=MCL,NUM=PLR,PAR=M534,FRA=Y0,ABN=ABT,ANI=NANM,SEM=ACT,,,,
101,8,1,اتصل,CODE1=1383972,CODE2=201291069,LEMMA=اتصل,BF=اتصل,LEX=V,POS=VER,LST=WRD,GEN=MCL,NUM=SNG,PER=2PS,MOO=IMP,VOI=ACV,TRA=TSTI,PAR=M119,FRA=Y460,SEM=CTC,,,
102,8,1,اتصلت,CODE1=1384100,CODE2=201291069,LEMMA=اتصل,BF=اتصل,LEX=V,POS=VER,LST=WRD,NUM=SNG,PER=1PS,ATE=PAS,VOI=ACV,TRA=TSTI,PAR=M119,FRA=Y460,SEM=CTC,,,,
103,70,1,اتعملت,CODE1=920937,CODE2=202609764,LEMMA=انتهى,BF=انتهى,LEX=V,POS=VER,LST=WRD,GEN=FEM,NUM=SNG,PER=3PS,ATE=PAS,VOI=ACV,TRA=NACC,PAR=M381,FRA=Y0,SEM=STT,,,
104,17,1,اتمسحت,CODE1=674697,CODE2=201392237,LEMMA=مسح,BF=مسح,LEX=V,POS=VER,LST=WRD,GEN=FEM,NUM=SNG,PER=3PS,ATE=PAS,VOI=PSV,TRA=TSTD,PAR=M10,FRA=Y0,SEM=CTC,,,
105,12,0,اجدد,CODE1=1352930,CODE2=201146051,LEMMA=جد,BF=جد,LEX=V,POS=VER,LST=WRD,NUM=SNG,PER=1PS,ATE=PRS,MOO=JUS,VOI=ACV,TRA=NERG,PAR=M160,FRA=Y20,SEM=CPT,,,
106,73,1,احب,CODE1=504526,CODE2=201777210,LEMMA=أحب,BF=أحب,LEX=V,POS=VER,LST=WRD,GEN=MCL,NUM=SNG,PER=3PS,ATE=PAS,VOI=ACV,TRA=TSTD,PAR=M1,FRA=Y0,SEM=EMO,,,
107,94,2,احسن,CODE1=126313,CODE2=300227507,LEMMA=أحسن,BF=أحسن,LEX=J,POS=ADJ,LST=WRD,GEN=COM,NUM=INV,DEG=SUP,PAR=M1,FRA=Y0,,,,,,,
108,20,0,احلى,CODE1=266608,CODE2=300217728,LEMMA=أجمل,BF=أجمل,LEX=J,POS=ADJ,LST=WRD,GEN=COM,NUM=INV,DEG=SUP,PAR=M1,FRA=Y0,SEM=VLE,,,,,,
109,20,0,احلي,CODE1=266608,CODE2=300217728,LEMMA=أجمل,BF=أجمل,LEX=J,POS=ADJ,LST=WRD,GEN=COM,NUM=INV,DEG=SUP,PAR=M1,FRA=Y0,SEM=VLE,,,,,,
110,255,255,احنا,CODE1=443015,CODE2=00.@1.@pl,LEMMA=نحن,BF=نحن,LEX=R,POS=PPR,LST=WRD,PER=1PP,PAR=M0,FRA=Y0,SEM=XXX,SFR=K0,,,,,,,
111,12,1,احول,CODE1=273388,CODE2=107415730,LEMMA=تحويل,BF=تحويل,LEX=N,POS=NOU,MOR=WFO,LST=WRD,GEN=MCL,NUM=SNG,PAR=M534,FRA=Y0,ANI=NANM,ABN=ABT,ALY=ALI,ANI=NANM,CAR=CTB,SEM=NEV,SFR=K0
112,35,2,اخر,CODE1=316683,CODE2=108566028,LEMMA=نهاية,BF=نهاية,LEX=N,POS=NOU,MOR=WFO,LST=WRD,GEN=FEM,NUM=SNG,PAR=M533,FRA=Y0,ABN=CCT,ALY=NALI,ANI=NANM,CAR=CTB,SEM=LCT,SFR=K0,
113,179,10,اديت,CODE1=1378067,CODE2=202316868,LEMMA=أعطى,BF=أعطى,LEX=V,POS=VER,LST=WRD,NUM=SNG,PER=1PS,ATE=PAS,VOI=ACV,TRA=TST2,PAR=M222,FRA=Y18,SEM=POV,,,,
